Area (m2),Steam Flow (kg/s),Solar Heat (MW),Steam Power (MW),Combined Power (MW),Efficiency (%),Feedwater Temp (°C)
5000,61.07832011186965,3.24,62.16451954905909,150.1645195490591,59.724524820648504,53.96967345209248
10000,62.11319778288794,6.48,63.217801189632546,151.21780118963252,60.143443654967484,66.26031129534897
15000,63.14431713071038,9.72,64.26725767006158,152.26725767006158,60.56084111877449,78.13149284442142
20000,64.19038163624965,12.96,65.33192508863284,153.33192508863286,60.98428838752443,89.5872043512095
25000,65.22926104385951,16.2,66.3892796315409,154.3892796315409,61.40482712618104,100.65524016707371
30000,66.26992461332806,19.44,67.44845006533365,155.44845006533367,61.8260880941668,111.34340931661973
35000,67.29786955006821,22.68,68.49467568185844,156.4946756818584,62.2422005552846,121.68113083176092
40000,68.33305993922332,25.92,69.54827560185893,157.5482756018589,62.66124597801207,131.6593475786501
45000,69.36713152195509,29.16,70.60073681890152,158.60073681890154,63.079838507517664,141.29886393933964
50000,70.41182122637967,32.4,71.66400498728692,159.66400498728692,63.5027292563073,150.59329412248644
